,開催回,抽選日,抽選数字
388,第0389回,1998/05/11,275
389,第0390回,1998/05/13,956
390,第0391回,1998/05/15,066
391,第0392回,1998/05/18,426
392,第0393回,1998/05/20,029
393,第0394回,1998/05/22,729
394,第0395回,1998/05/25,440
395,第0396回,1998/05/27,963
396,第0397回,1998/05/29,345
397,第0398回,1998/06/01,274
398,第0399回,1998/06/03,816
399,第0400回,1998/06/05,596
400,第0401回,1998/06/08,354
401,第0402回,1998/06/10,058
402,第0403回,1998/06/12,431
403,第0404回,1998/06/15,109
404,第0405回,1998/06/17,891
405,第0406回,1998/06/19,222
406,第0407回,1998/06/22,042
407,第0408回,1998/06/24,237
408,第0409回,1998/06/26,400
409,第0410回,1998/06/29,866
410,第0411回,1998/07/01,636
411,第0412回,1998/07/03,514
412,第0413回,1998/07/06,910
413,第0414回,1998/07/08,737
414,第0415回,1998/07/10,834
415,第0416回,1998/07/13,001
416,第0417回,1998/07/15,371
417,第0418回,1998/07/17,429
418,第0419回,1998/07/20,723
419,第0420回,1998/07/22,427
420,第0421回,1998/07/24,402
421,第0422回,1998/07/27,495
422,第0423回,1998/07/29,367
423,第0424回,1998/07/31,043
424,第0425回,1998/08/03,535
425,第0426回,1998/08/05,618
426,第0427回,1998/08/07,159
427,第0428回,1998/08/10,512
428,第0429回,1998/08/12,641
429,第0430回,1998/08/14,652
430,第0431回,1998/08/17,219
431,第0432回,1998/08/19,163
432,第0433回,1998/08/21,255
433,第0434回,1998/08/24,698
434,第0435回,1998/08/26,161
435,第0436回,1998/08/28,244
436,第0437回,1998/08/31,727
437,第0438回,1998/09/02,235
438,第0439回,1998/09/04,605
439,第0440回,1998/09/07,520
440,第0441回,1998/09/09,196
441,第0442回,1998/09/11,174
442,第0443回,1998/09/14,198
443,第0444回,1998/09/16,107
444,第0445回,1998/09/18,087
445,第0446回,1998/09/21,531
446,第0447回,1998/09/23,453
447,第0448回,1998/09/25,785
448,第0449回,1998/09/28,048
449,第0450回,1998/09/30,033
450,第0451回,1998/10/02,423
451,第0452回,1998/10/05,666
452,第0453回,1998/10/07,102
453,第0454回,1998/10/09,713
454,第0455回,1998/10/12,612
455,第0456回,1998/10/14,887
456,第0457回,1998/10/16,189
457,第0458回,1998/10/19,383
458,第0459回,1998/10/21,620
459,第0460回,1998/10/23,150
460,第0461回,1998/10/26,190
461,第0462回,1998/10/28,292
462,第0463回,1998/10/30,994
463,第0464回,1998/11/02,086
464,第0465回,1998/11/04,095
465,第0466回,1998/11/06,256
466,第0467回,1998/11/09,882
467,第0468回,1998/11/11,687
468,第0469回,1998/11/13,949
469,第0470回,1998/11/16,577
470,第0471回,1998/11/18,301
471,第0472回,1998/11/20,616
472,第0473回,1998/11/23,407
473,第0474回,1998/11/25,041
474,第0475回,1998/11/27,583
475,第0476回,1998/11/30,111
476,第0477回,1998/12/02,498
477,第0478回,1998/12/04,277
478,第0479回,1998/12/07,962
479,第0480回,1998/12/09,335
480,第0481回,1998/12/11,550
481,第0482回,1998/12/14,818
482,第0483回,1998/12/16,075
483,第0484回,1998/12/18,899
484,第0485回,1998/12/21,485
485,第0486回,1998/12/23,932
486,第0487回,1998/12/25,856
487,第0488回,1998/12/28,115
488,第0489回,1998/12/30,618
489,第0490回,1999/01/04,634
490,第0491回,1999/01/06,995
491,第0492回,1999/01/08,931
492,第0493回,1999/01/11,385
493,第0494回,1999/01/13,153
494,第0495回,1999/01/15,827
495,第0496回,1999/01/18,028
496,第0497回,1999/01/20,595
497,第0498回,1999/01/22,211
498,第0499回,1999/01/25,012
499,第0500回,1999/01/27,679
500,第0501回,1999/01/29,640
501,第0502回,1999/02/01,929
502,第0503回,1999/02/03,782
503,第0504回,1999/02/05,947
504,第0505回,1999/02/08,480
505,第0506回,1999/02/10,993
506,第0507回,1999/02/12,172
507,第0508回,1999/02/15,295
508,第0509回,1999/02/17,831
509,第0510回,1999/02/19,253
510,第0511回,1999/02/22,914
511,第0512回,1999/02/24,947
512,第0513回,1999/02/26,900
513,第0514回,1999/03/01,122
514,第0515回,1999/03/03,286
515,第0516回,1999/03/05,583
516,第0517回,1999/03/08,287
517,第0518回,1999/03/10,402
518,第0519回,1999/03/12,658
519,第0520回,1999/03/15,493
520,第0521回,1999/03/17,535
521,第0522回,1999/03/19,073
522,第0523回,1999/03/22,532
523,第0524回,1999/03/24,036
524,第0525回,1999/03/26,919
525,第0526回,1999/03/29,357
526,第0527回,1999/03/31,593
527,第0528回,1999/04/02,743
528,第0529回,1999/04/05,413
529,第0530回,1999/04/07,719
530,第0531回,1999/04/09,835
531,第0532回,1999/04/12,277
532,第0533回,1999/04/14,200
533,第0534回,1999/04/16,432
534,第0535回,1999/04/19,205
535,第0536回,1999/04/21,951
536,第0537回,1999/04/23,998
537,第0538回,1999/04/26,628
538,第0539回,1999/04/28,435
539,第0540回,1999/04/30,154
540,第0541回,1999/05/03,033
541,第0542回,1999/05/05,614
542,第0543回,1999/05/07,362
543,第0544回,1999/05/10,269
544,第0545回,1999/05/12,838
545,第0546回,1999/05/14,098
546,第0547回,1999/05/17,806
547,第0548回,1999/05/19,411
548,第0549回,1999/05/21,450
549,第0550回,1999/05/24,666
550,第0551回,1999/05/26,300
551,第0552回,1999/05/28,993
552,第0553回,1999/05/31,019
553,第0554回,1999/06/02,355
554,第0555回,1999/06/04,602
555,第0556回,1999/06/07,331
556,第0557回,1999/06/09,443
557,第0558回,1999/06/11,666
558,第0559回,1999/06/14,297
559,第0560回,1999/06/16,057
560,第0561回,1999/06/18,190
561,第0562回,1999/06/21,382
562,第0563回,1999/06/23,080
563,第0564回,1999/06/25,732
564,第0565回,1999/06/28,982
565,第0566回,1999/06/30,906
566,第0567回,1999/07/02,433
567,第0568回,1999/07/05,953
568,第0569回,1999/07/07,049
569,第0570回,1999/07/09,587
570,第0571回,1999/07/12,798
571,第0572回,1999/07/14,731
572,第0573回,1999/07/16,597
573,第0574回,1999/07/19,910
574,第0575回,1999/07/21,939
575,第0576回,1999/07/23,487
576,第0577回,1999/07/26,228
577,第0578回,1999/07/28,398
578,第0579回,1999/07/30,588
579,第0580回,1999/08/02,385
580,第0581回,1999/08/04,160
581,第0582回,1999/08/06,315
582,第0583回,1999/08/09,850
583,第0584回,1999/08/11,085
584,第0585回,1999/08/13,365
585,第0586回,1999/08/16,207
586,第0587回,1999/08/18,569
587,第0588回,1999/08/20,652
588,第0589回,1999/08/23,485
589,第0590回,1999/08/25,947
590,第0591回,1999/08/27,046
591,第0592回,1999/08/30,036
592,第0593回,1999/09/01,829
593,第0594回,1999/09/03,130
594,第0595回,1999/09/06,162
595,第0596回,1999/09/08,193
596,第0597回,1999/09/10,429
597,第0598回,1999/09/13,306
598,第0599回,1999/09/15,554
599,第0600回,1999/09/17,752
600,第0601回,1999/09/20,421
601,第0602回,1999/09/22,979
602,第0603回,1999/09/24,699
603,第0604回,1999/09/27,939
604,第0605回,1999/09/29,030
605,第0606回,1999/10/01,638
606,第0607回,1999/10/04,405
607,第0608回,1999/10/06,964
608,第0609回,1999/10/08,178
609,第0610回,1999/10/11,337
610,第0611回,1999/10/13,801
611,第0612回,1999/10/15,730
612,第0613回,1999/10/18,591
613,第0614回,1999/10/20,369
614,第0615回,1999/10/22,142
615,第0616回,1999/10/25,475
616,第0617回,1999/10/27,092
617,第0618回,1999/10/29,279
618,第0619回,1999/11/01,567
619,第0620回,1999/11/03,866
620,第0621回,1999/11/05,044
621,第0622回,1999/11/08,639
622,第0623回,1999/11/10,308
623,第0624回,1999/11/12,675
624,第0625回,1999/11/15,546
625,第0626回,1999/11/17,588
626,第0627回,1999/11/19,472
627,第0628回,1999/11/22,201
628,第0629回,1999/11/24,118
629,第0630回,1999/11/26,223
630,第0631回,1999/11/29,194
631,第0632回,1999/12/01,182
632,第0633回,1999/12/03,446
633,第0634回,1999/12/06,382
634,第0635回,1999/12/08,669
635,第0636回,1999/12/10,403
636,第0637回,1999/12/13,633
637,第0638回,1999/12/15,951
638,第0639回,1999/12/17,783
639,第0640回,1999/12/20,908
640,第0641回,1999/12/22,636
641,第0642回,1999/12/24,433
642,第0643回,1999/12/27,364
643,第0644回,1999/12/29,949
644,第0645回,2000/01/05,584
645,第0646回,2000/01/07,732
646,第0647回,2000/01/10,175
647,第0648回,2000/01/12,044
648,第0649回,2000/01/14,282
649,第0650回,2000/01/17,969
650,第0651回,2000/01/19,345
651,第0652回,2000/01/21,258
652,第0653回,2000/01/24,037
653,第0654回,2000/01/26,507
654,第0655回,2000/01/28,798
655,第0656回,2000/01/31,028
656,第0657回,2000/02/02,959
657,第0658回,2000/02/04,553
658,第0659回,2000/02/07,649
659,第0660回,2000/02/09,875
660,第0661回,2000/02/11,081
661,第0662回,2000/02/14,646
662,第0663回,2000/02/16,070
663,第0664回,2000/02/18,195
664,第0665回,2000/02/21,297
665,第0666回,2000/02/23,277
666,第0667回,2000/02/25,943
667,第0668回,2000/02/28,157
668,第0669回,2000/03/01,367
669,第0670回,2000/03/03,811
670,第0671回,2000/03/06,682
671,第0672回,2000/03/08,916
672,第0673回,2000/03/10,385
673,第0674回,2000/03/13,478
674,第0675回,2000/03/15,944
675,第0676回,2000/03/17,830
676,第0677回,2000/03/20,068
677,第0678回,2000/03/22,628
678,第0679回,2000/03/24,261
679,第0680回,2000/03/27,277
680,第0681回,2000/03/29,503
681,第0682回,2000/03/31,973
682,第0683回,2000/04/03,632
683,第0684回,2000/04/05,715
684,第0685回,2000/04/07,947
685,第0686回,2000/04/10,790
686,第0687回,2000/04/12,751
687,第0688回,2000/04/14,232
688,第0689回,2000/04/17,042
689,第0690回,2000/04/19,274
690,第0691回,2000/04/21,132
691,第0692回,2000/04/24,548
692,第0693回,2000/04/26,094
693,第0694回,2000/04/28,900
694,第0695回,2000/05/01,797
695,第0696回,2000/05/03,003
696,第0697回,2000/05/05,971
697,第0698回,2000/05/08,907
698,第0699回,2000/05/10,278
699,第0700回,2000/05/12,232
700,第0701回,2000/05/15,883
701,第0702回,2000/05/17,993
702,第0703回,2000/05/19,424
703,第0704回,2000/05/22,869
704,第0705回,2000/05/24,094
705,第0706回,2000/05/26,948
706,第0707回,2000/05/29,851
707,第0708回,2000/05/31,337
708,第0709回,2000/06/02,762
709,第0710回,2000/06/05,114
710,第0711回,2000/06/07,755
711,第0712回,2000/06/09,428
712,第0713回,2000/06/12,620
713,第0714回,2000/06/14,943
714,第0715回,2000/06/16,040
715,第0716回,2000/06/19,469
716,第0717回,2000/06/21,743
717,第0718回,2000/06/23,241
718,第0719回,2000/06/26,234
719,第0720回,2000/06/28,217
720,第0721回,2000/06/30,889
721,第0722回,2000/07/03,214
722,第0723回,2000/07/05,739
723,第0724回,2000/07/07,376
724,第0725回,2000/07/10,397
725,第0726回,2000/07/12,629
726,第0727回,2000/07/14,125
727,第0728回,2000/07/17,743
728,第0729回,2000/07/19,189
729,第0730回,2000/07/21,974
730,第0731回,2000/07/24,808
731,第0732回,2000/07/26,715
732,第0733回,2000/07/28,179
733,第0734回,2000/07/31,496
734,第0735回,2000/08/02,610
735,第0736回,2000/08/04,603
736,第0737回,2000/08/07,821
737,第0738回,2000/08/09,065
738,第0739回,2000/08/11,918
739,第0740回,2000/08/14,602
740,第0741回,2000/08/16,054
741,第0742回,2000/08/18,286
742,第0743回,2000/08/21,854
743,第0744回,2000/08/23,946
744,第0745回,2000/08/25,031
745,第0746回,2000/08/28,134
746,第0747回,2000/08/30,831
747,第0748回,2000/09/01,617
748,第0749回,2000/09/04,920
749,第0750回,2000/09/06,912
750,第0751回,2000/09/08,266
751,第0752回,2000/09/11,370
752,第0753回,2000/09/13,208
753,第0754回,2000/09/15,307
754,第0755回,2000/09/18,982
755,第0756回,2000/09/20,386
756,第0757回,2000/09/22,375
757,第0758回,2000/09/25,088
758,第0759回,2000/09/27,548
759,第0760回,2000/09/29,699
760,第0761回,2000/10/02,805
761,第0762回,2000/10/04,804
762,第0763回,2000/10/06,610
763,第0764回,2000/10/09,094
764,第0765回,2000/10/11,117
765,第0766回,2000/10/13,835
766,第0767回,2000/10/16,618
767,第0768回,2000/10/18,192
768,第0769回,2000/10/20,220
769,第0770回,2000/10/23,325
770,第0771回,2000/10/25,522
771,第0772回,2000/10/27,574
772,第0773回,2000/10/30,811
773,第0774回,2000/11/01,080
774,第0775回,2000/11/03,923
775,第0776回,2000/11/06,302
776,第0777回,2000/11/08,237
777,第0778回,2000/11/10,226
778,第0779回,2000/11/13,167
779,第0780回,2000/11/15,033
780,第0781回,2000/11/17,472
781,第0782回,2000/11/20,014
782,第0783回,2000/11/22,924
783,第0784回,2000/11/24,703
784,第0785回,2000/11/27,908
785,第0786回,2000/11/29,160
786,第0787回,2000/12/01,221
787,第0788回,2000/12/04,433
788,第0789回,2000/12/06,787
789,第0790回,2000/12/08,807
790,第0791回,2000/12/11,552
791,第0792回,2000/12/13,220
792,第0793回,2000/12/15,685
793,第0794回,2000/12/18,199
794,第0795回,2000/12/20,461
795,第0796回,2000/12/22,360
796,第0797回,2000/12/25,418
797,第0798回,2000/12/27,477
798,第0799回,2000/12/29,953
799,第0800回,2001/01/05,817
800,第0801回,2001/01/08,793
801,第0802回,2001/01/10,468
802,第0803回,2001/01/12,405
803,第0804回,2001/01/15,331
804,第0805回,2001/01/17,224
805,第0806回,2001/01/19,221
806,第0807回,2001/01/22,122
807,第0808回,2001/01/24,296
808,第0809回,2001/01/26,127
809,第0810回,2001/01/29,929
810,第0811回,2001/01/31,559
811,第0812回,2001/02/02,614
812,第0813回,2001/02/05,096
813,第0814回,2001/02/07,873
814,第0815回,2001/02/09,839
815,第0816回,2001/02/12,650
816,第0817回,2001/02/14,922
817,第0818回,2001/02/16,427
818,第0819回,2001/02/19,369
819,第0820回,2001/02/21,033
820,第0821回,2001/02/23,292
821,第0822回,2001/02/26,459
822,第0823回,2001/02/28,535
823,第0824回,2001/03/02,102
824,第0825回,2001/03/05,339
825,第0826回,2001/03/07,823
826,第0827回,2001/03/09,802
827,第0828回,2001/03/12,939
828,第0829回,2001/03/14,442
829,第0830回,2001/03/16,247
830,第0831回,2001/03/19,764
831,第0832回,2001/03/21,626
832,第0833回,2001/03/23,826
833,第0834回,2001/03/26,594
834,第0835回,2001/03/28,309
835,第0836回,2001/03/30,926
836,第0837回,2001/04/02,539
837,第0838回,2001/04/04,524
838,第0839回,2001/04/06,679
839,第0840回,2001/04/09,059
840,第0841回,2001/04/11,306
841,第0842回,2001/04/13,219
842,第0843回,2001/04/16,768
843,第0844回,2001/04/18,170
844,第0845回,2001/04/20,274
845,第0846回,2001/04/23,531
846,第0847回,2001/04/25,473
847,第0848回,2001/04/27,098
848,第0849回,2001/04/30,539
849,第0850回,2001/05/02,646
850,第0851回,2001/05/04,717
851,第0852回,2001/05/07,057
852,第0853回,2001/05/09,363
853,第0854回,2001/05/11,112
854,第0855回,2001/05/14,939
855,第0856回,2001/05/16,099
856,第0857回,2001/05/18,921
857,第0858回,2001/05/21,510
858,第0859回,2001/05/23,400
859,第0860回,2001/05/25,963
860,第0861回,2001/05/28,931
861,第0862回,2001/05/30,883
862,第0863回,2001/06/01,585
863,第0864回,2001/06/04,426
864,第0865回,2001/06/06,329
865,第0866回,2001/06/08,571
866,第0867回,2001/06/11,432
867,第0868回,2001/06/13,634
868,第0869回,2001/06/15,245
869,第0870回,2001/06/18,772
870,第0871回,2001/06/20,639
871,第0872回,2001/06/22,755
872,第0873回,2001/06/25,367
