,開催回,抽選日,抽選数字,year,month,day,weekday,hundred,ten,one
48,第0049回,1995-05-09,476,1995,5,9,1,4,7,6
49,第0050回,1995-05-12,042,1995,5,12,4,0,4,2
50,第0051回,1995-05-16,802,1995,5,16,1,8,0,2
51,第0052回,1995-05-19,717,1995,5,19,4,7,1,7
52,第0053回,1995-05-23,889,1995,5,23,1,8,8,9
53,第0054回,1995-05-26,226,1995,5,26,4,2,2,6
54,第0055回,1995-05-30,728,1995,5,30,1,7,2,8
55,第0056回,1995-06-02,929,1995,6,2,4,9,2,9
56,第0057回,1995-06-06,836,1995,6,6,1,8,3,6
57,第0058回,1995-06-09,383,1995,6,9,4,3,8,3
58,第0059回,1995-06-13,410,1995,6,13,1,4,1,0
59,第0060回,1995-06-16,980,1995,6,16,4,9,8,0
60,第0061回,1995-06-20,542,1995,6,20,1,5,4,2
61,第0062回,1995-06-23,725,1995,6,23,4,7,2,5
62,第0063回,1995-06-27,251,1995,6,27,1,2,5,1
63,第0064回,1995-06-30,260,1995,6,30,4,2,6,0
64,第0065回,1995-07-04,588,1995,7,4,1,5,8,8
65,第0066回,1995-07-07,512,1995,7,7,4,5,1,2
66,第0067回,1995-07-11,512,1995,7,11,1,5,1,2
67,第0068回,1995-07-14,750,1995,7,14,4,7,5,0
68,第0069回,1995-07-18,902,1995,7,18,1,9,0,2
69,第0070回,1995-07-21,963,1995,7,21,4,9,6,3
70,第0071回,1995-07-25,661,1995,7,25,1,6,6,1
71,第0072回,1995-07-28,879,1995,7,28,4,8,7,9
72,第0073回,1995-08-01,452,1995,8,1,1,4,5,2
73,第0074回,1995-08-04,174,1995,8,4,4,1,7,4
74,第0075回,1995-08-08,283,1995,8,8,1,2,8,3
75,第0076回,1995-08-11,238,1995,8,11,4,2,3,8
76,第0077回,1995-08-15,972,1995,8,15,1,9,7,2
77,第0078回,1995-08-18,241,1995,8,18,4,2,4,1
78,第0079回,1995-08-22,310,1995,8,22,1,3,1,0
79,第0080回,1995-08-25,882,1995,8,25,4,8,8,2
80,第0081回,1995-08-29,269,1995,8,29,1,2,6,9
81,第0082回,1995-09-01,144,1995,9,1,4,1,4,4
82,第0083回,1995-09-05,174,1995,9,5,1,1,7,4
83,第0084回,1995-09-08,882,1995,9,8,4,8,8,2
84,第0085回,1995-09-12,307,1995,9,12,1,3,0,7
85,第0086回,1995-09-15,864,1995,9,15,4,8,6,4
86,第0087回,1995-09-19,370,1995,9,19,1,3,7,0
87,第0088回,1995-09-22,739,1995,9,22,4,7,3,9
88,第0089回,1995-09-26,697,1995,9,26,1,6,9,7
89,第0090回,1995-09-29,689,1995,9,29,4,6,8,9
90,第0091回,1995-10-03,168,1995,10,3,1,1,6,8
91,第0092回,1995-10-06,957,1995,10,6,4,9,5,7
92,第0093回,1995-10-10,910,1995,10,10,1,9,1,0
93,第0094回,1995-10-13,933,1995,10,13,4,9,3,3
94,第0095回,1995-10-17,306,1995,10,17,1,3,0,6
95,第0096回,1995-10-20,944,1995,10,20,4,9,4,4
96,第0097回,1995-10-24,988,1995,10,24,1,9,8,8
97,第0098回,1995-10-27,562,1995,10,27,4,5,6,2
98,第0099回,1995-10-31,571,1995,10,31,1,5,7,1
99,第0100回,1995-11-03,899,1995,11,3,4,8,9,9
100,第0101回,1995-11-07,945,1995,11,7,1,9,4,5
101,第0102回,1995-11-10,560,1995,11,10,4,5,6,0
102,第0103回,1995-11-14,824,1995,11,14,1,8,2,4
103,第0104回,1995-11-17,610,1995,11,17,4,6,1,0
104,第0105回,1995-11-21,619,1995,11,21,1,6,1,9
105,第0106回,1995-11-24,086,1995,11,24,4,0,8,6
106,第0107回,1995-11-28,082,1995,11,28,1,0,8,2
107,第0108回,1995-12-01,254,1995,12,1,4,2,5,4
108,第0109回,1995-12-05,191,1995,12,5,1,1,9,1
109,第0110回,1995-12-08,385,1995,12,8,4,3,8,5
110,第0111回,1995-12-12,056,1995,12,12,1,0,5,6
111,第0112回,1995-12-15,167,1995,12,15,4,1,6,7
112,第0113回,1995-12-19,744,1995,12,19,1,7,4,4
113,第0114回,1995-12-22,205,1995,12,22,4,2,0,5
114,第0115回,1995-12-26,770,1995,12,26,1,7,7,0
115,第0116回,1995-12-29,366,1995,12,29,4,3,6,6
116,第0117回,1996-01-05,952,1996,1,5,4,9,5,2
117,第0118回,1996-01-09,635,1996,1,9,1,6,3,5
118,第0119回,1996-01-12,952,1996,1,12,4,9,5,2
119,第0120回,1996-01-16,650,1996,1,16,1,6,5,0
120,第0121回,1996-01-19,439,1996,1,19,4,4,3,9
121,第0122回,1996-01-23,458,1996,1,23,1,4,5,8
122,第0123回,1996-01-26,513,1996,1,26,4,5,1,3
123,第0124回,1996-01-30,863,1996,1,30,1,8,6,3
124,第0125回,1996-02-02,409,1996,2,2,4,4,0,9
125,第0126回,1996-02-06,318,1996,2,6,1,3,1,8
126,第0127回,1996-02-09,217,1996,2,9,4,2,1,7
127,第0128回,1996-02-13,855,1996,2,13,1,8,5,5
128,第0129回,1996-02-16,620,1996,2,16,4,6,2,0
129,第0130回,1996-02-20,559,1996,2,20,1,5,5,9
130,第0131回,1996-02-23,820,1996,2,23,4,8,2,0
131,第0132回,1996-02-27,016,1996,2,27,1,0,1,6
132,第0133回,1996-03-01,926,1996,3,1,4,9,2,6
133,第0134回,1996-03-05,603,1996,3,5,1,6,0,3
134,第0135回,1996-03-08,454,1996,3,8,4,4,5,4
135,第0136回,1996-03-12,295,1996,3,12,1,2,9,5
136,第0137回,1996-03-15,819,1996,3,15,4,8,1,9
137,第0138回,1996-03-19,995,1996,3,19,1,9,9,5
138,第0139回,1996-03-22,356,1996,3,22,4,3,5,6
139,第0140回,1996-03-26,054,1996,3,26,1,0,5,4
140,第0141回,1996-03-29,783,1996,3,29,4,7,8,3
141,第0142回,1996-04-02,077,1996,4,2,1,0,7,7
142,第0143回,1996-04-05,694,1996,4,5,4,6,9,4
143,第0144回,1996-04-09,594,1996,4,9,1,5,9,4
144,第0145回,1996-04-12,125,1996,4,12,4,1,2,5
145,第0146回,1996-04-16,766,1996,4,16,1,7,6,6
146,第0147回,1996-04-19,464,1996,4,19,4,4,6,4
147,第0148回,1996-04-23,489,1996,4,23,1,4,8,9
148,第0149回,1996-04-26,003,1996,4,26,4,0,0,3
149,第0150回,1996-04-30,538,1996,4,30,1,5,3,8
150,第0151回,1996-05-03,332,1996,5,3,4,3,3,2
151,第0152回,1996-05-07,224,1996,5,7,1,2,2,4
152,第0153回,1996-05-10,750,1996,5,10,4,7,5,0
153,第0154回,1996-05-14,791,1996,5,14,1,7,9,1
154,第0155回,1996-05-17,126,1996,5,17,4,1,2,6
155,第0156回,1996-05-21,991,1996,5,21,1,9,9,1
156,第0157回,1996-05-24,570,1996,5,24,4,5,7,0
157,第0158回,1996-05-28,604,1996,5,28,1,6,0,4
158,第0159回,1996-05-31,259,1996,5,31,4,2,5,9
159,第0160回,1996-06-04,839,1996,6,4,1,8,3,9
160,第0161回,1996-06-07,284,1996,6,7,4,2,8,4
161,第0162回,1996-06-11,516,1996,6,11,1,5,1,6
162,第0163回,1996-06-14,648,1996,6,14,4,6,4,8
163,第0164回,1996-06-18,198,1996,6,18,1,1,9,8
164,第0165回,1996-06-21,563,1996,6,21,4,5,6,3
165,第0166回,1996-06-25,331,1996,6,25,1,3,3,1
166,第0167回,1996-06-28,233,1996,6,28,4,2,3,3
167,第0168回,1996-07-02,107,1996,7,2,1,1,0,7
168,第0169回,1996-07-05,351,1996,7,5,4,3,5,1
169,第0170回,1996-07-09,574,1996,7,9,1,5,7,4
170,第0171回,1996-07-12,679,1996,7,12,4,6,7,9
171,第0172回,1996-07-16,355,1996,7,16,1,3,5,5
172,第0173回,1996-07-19,581,1996,7,19,4,5,8,1
173,第0174回,1996-07-23,967,1996,7,23,1,9,6,7
174,第0175回,1996-07-26,683,1996,7,26,4,6,8,3
175,第0176回,1996-07-30,203,1996,7,30,1,2,0,3
176,第0177回,1996-08-02,845,1996,8,2,4,8,4,5
177,第0178回,1996-08-06,464,1996,8,6,1,4,6,4
178,第0179回,1996-08-09,168,1996,8,9,4,1,6,8
179,第0180回,1996-08-13,632,1996,8,13,1,6,3,2
180,第0181回,1996-08-16,890,1996,8,16,4,8,9,0
181,第0182回,1996-08-20,439,1996,8,20,1,4,3,9
182,第0183回,1996-08-23,589,1996,8,23,4,5,8,9
183,第0184回,1996-08-27,492,1996,8,27,1,4,9,2
184,第0185回,1996-08-30,882,1996,8,30,4,8,8,2
185,第0186回,1996-09-03,439,1996,9,3,1,4,3,9
186,第0187回,1996-09-06,975,1996,9,6,4,9,7,5
187,第0188回,1996-09-10,254,1996,9,10,1,2,5,4
188,第0189回,1996-09-13,199,1996,9,13,4,1,9,9
189,第0190回,1996-09-17,170,1996,9,17,1,1,7,0
190,第0191回,1996-09-20,424,1996,9,20,4,4,2,4
191,第0192回,1996-09-24,021,1996,9,24,1,0,2,1
192,第0193回,1996-09-27,656,1996,9,27,4,6,5,6
193,第0194回,1996-10-01,812,1996,10,1,1,8,1,2
194,第0195回,1996-10-04,819,1996,10,4,4,8,1,9
195,第0196回,1996-10-08,907,1996,10,8,1,9,0,7
196,第0197回,1996-10-11,728,1996,10,11,4,7,2,8
197,第0198回,1996-10-15,374,1996,10,15,1,3,7,4
198,第0199回,1996-10-18,269,1996,10,18,4,2,6,9
199,第0200回,1996-10-22,411,1996,10,22,1,4,1,1
200,第0201回,1996-10-25,176,1996,10,25,4,1,7,6
201,第0202回,1996-10-29,676,1996,10,29,1,6,7,6
202,第0203回,1996-11-01,093,1996,11,1,4,0,9,3
203,第0204回,1996-11-05,211,1996,11,5,1,2,1,1
204,第0205回,1996-11-08,531,1996,11,8,4,5,3,1
205,第0206回,1996-11-12,938,1996,11,12,1,9,3,8
206,第0207回,1996-11-15,413,1996,11,15,4,4,1,3
207,第0208回,1996-11-19,781,1996,11,19,1,7,8,1
208,第0209回,1996-11-22,920,1996,11,22,4,9,2,0
209,第0210回,1996-11-26,192,1996,11,26,1,1,9,2
210,第0211回,1996-11-29,022,1996,11,29,4,0,2,2
211,第0212回,1996-12-03,151,1996,12,3,1,1,5,1
212,第0213回,1996-12-06,502,1996,12,6,4,5,0,2
213,第0214回,1996-12-10,870,1996,12,10,1,8,7,0
214,第0215回,1996-12-13,215,1996,12,13,4,2,1,5
215,第0216回,1996-12-17,337,1996,12,17,1,3,3,7
216,第0217回,1996-12-20,712,1996,12,20,4,7,1,2
217,第0218回,1996-12-24,594,1996,12,24,1,5,9,4
218,第0219回,1996-12-27,260,1996,12,27,4,2,6,0
219,第0220回,1997-01-07,112,1997,1,7,1,1,1,2
220,第0221回,1997-01-10,514,1997,1,10,4,5,1,4
221,第0222回,1997-01-14,227,1997,1,14,1,2,2,7
222,第0223回,1997-01-17,333,1997,1,17,4,3,3,3
223,第0224回,1997-01-21,466,1997,1,21,1,4,6,6
224,第0225回,1997-01-24,751,1997,1,24,4,7,5,1
225,第0226回,1997-01-28,952,1997,1,28,1,9,5,2
226,第0227回,1997-01-31,188,1997,1,31,4,1,8,8
227,第0228回,1997-02-04,014,1997,2,4,1,0,1,4
228,第0229回,1997-02-07,409,1997,2,7,4,4,0,9
229,第0230回,1997-02-11,383,1997,2,11,1,3,8,3
230,第0231回,1997-02-14,523,1997,2,14,4,5,2,3
231,第0232回,1997-02-18,945,1997,2,18,1,9,4,5
232,第0233回,1997-02-21,065,1997,2,21,4,0,6,5
233,第0234回,1997-02-25,317,1997,2,25,1,3,1,7
234,第0235回,1997-02-28,582,1997,2,28,4,5,8,2
235,第0236回,1997-03-04,830,1997,3,4,1,8,3,0
236,第0237回,1997-03-07,648,1997,3,7,4,6,4,8
237,第0238回,1997-03-11,414,1997,3,11,1,4,1,4
238,第0239回,1997-03-14,741,1997,3,14,4,7,4,1
239,第0240回,1997-03-18,229,1997,3,18,1,2,2,9
240,第0241回,1997-03-21,400,1997,3,21,4,4,0,0
241,第0242回,1997-03-25,066,1997,3,25,1,0,6,6
242,第0243回,1997-03-28,608,1997,3,28,4,6,0,8
243,第0244回,1997-04-01,140,1997,4,1,1,1,4,0
244,第0245回,1997-04-04,827,1997,4,4,4,8,2,7
245,第0246回,1997-04-08,593,1997,4,8,1,5,9,3
246,第0247回,1997-04-11,537,1997,4,11,4,5,3,7
247,第0248回,1997-04-15,193,1997,4,15,1,1,9,3
248,第0249回,1997-04-18,624,1997,4,18,4,6,2,4
249,第0250回,1997-04-22,180,1997,4,22,1,1,8,0
250,第0251回,1997-04-25,227,1997,4,25,4,2,2,7
251,第0252回,1997-04-29,004,1997,4,29,1,0,0,4
252,第0253回,1997-05-02,616,1997,5,2,4,6,1,6
253,第0254回,1997-05-06,238,1997,5,6,1,2,3,8
254,第0255回,1997-05-09,770,1997,5,9,4,7,7,0
255,第0256回,1997-05-13,088,1997,5,13,1,0,8,8
256,第0257回,1997-05-16,935,1997,5,16,4,9,3,5
257,第0258回,1997-05-20,447,1997,5,20,1,4,4,7
258,第0259回,1997-05-23,216,1997,5,23,4,2,1,6
259,第0260回,1997-05-27,061,1997,5,27,1,0,6,1
260,第0261回,1997-05-30,596,1997,5,30,4,5,9,6
261,第0262回,1997-06-03,042,1997,6,3,1,0,4,2
262,第0263回,1997-06-06,839,1997,6,6,4,8,3,9
263,第0264回,1997-06-10,362,1997,6,10,1,3,6,2
264,第0265回,1997-06-13,928,1997,6,13,4,9,2,8
265,第0266回,1997-06-17,972,1997,6,17,1,9,7,2
266,第0267回,1997-06-20,093,1997,6,20,4,0,9,3
267,第0268回,1997-06-24,024,1997,6,24,1,0,2,4
268,第0269回,1997-06-27,782,1997,6,27,4,7,8,2
269,第0270回,1997-07-01,793,1997,7,1,1,7,9,3
270,第0271回,1997-07-04,823,1997,7,4,4,8,2,3
271,第0272回,1997-07-08,783,1997,7,8,1,7,8,3
272,第0273回,1997-07-11,526,1997,7,11,4,5,2,6
273,第0274回,1997-07-15,854,1997,7,15,1,8,5,4
274,第0275回,1997-07-18,806,1997,7,18,4,8,0,6
275,第0276回,1997-07-22,385,1997,7,22,1,3,8,5
276,第0277回,1997-07-25,632,1997,7,25,4,6,3,2
277,第0278回,1997-07-29,877,1997,7,29,1,8,7,7
278,第0279回,1997-08-01,891,1997,8,1,4,8,9,1
279,第0280回,1997-08-05,326,1997,8,5,1,3,2,6
280,第0281回,1997-08-08,907,1997,8,8,4,9,0,7
281,第0282回,1997-08-12,743,1997,8,12,1,7,4,3
282,第0283回,1997-08-15,940,1997,8,15,4,9,4,0
283,第0284回,1997-08-19,588,1997,8,19,1,5,8,8
284,第0285回,1997-08-22,760,1997,8,22,4,7,6,0
285,第0286回,1997-08-26,272,1997,8,26,1,2,7,2
286,第0287回,1997-08-29,925,1997,8,29,4,9,2,5
287,第0288回,1997-09-02,144,1997,9,2,1,1,4,4
288,第0289回,1997-09-05,838,1997,9,5,4,8,3,8
289,第0290回,1997-09-09,167,1997,9,9,1,1,6,7
290,第0291回,1997-09-12,085,1997,9,12,4,0,8,5
291,第0292回,1997-09-16,737,1997,9,16,1,7,3,7
292,第0293回,1997-09-19,663,1997,9,19,4,6,6,3
293,第0294回,1997-09-23,107,1997,9,23,1,1,0,7
294,第0295回,1997-09-26,075,1997,9,26,4,0,7,5
295,第0296回,1997-09-30,880,1997,9,30,1,8,8,0
296,第0297回,1997-10-03,144,1997,10,3,4,1,4,4
297,第0298回,1997-10-06,104,1997,10,6,0,1,0,4
298,第0299回,1997-10-08,155,1997,10,8,2,1,5,5
299,第0300回,1997-10-10,126,1997,10,10,4,1,2,6
300,第0301回,1997-10-13,330,1997,10,13,0,3,3,0
301,第0302回,1997-10-15,001,1997,10,15,2,0,0,1
302,第0303回,1997-10-17,497,1997,10,17,4,4,9,7
303,第0304回,1997-10-20,399,1997,10,20,0,3,9,9
304,第0305回,1997-10-22,367,1997,10,22,2,3,6,7
305,第0306回,1997-10-24,748,1997,10,24,4,7,4,8
306,第0307回,1997-10-27,690,1997,10,27,0,6,9,0
307,第0308回,1997-10-29,519,1997,10,29,2,5,1,9
308,第0309回,1997-10-31,777,1997,10,31,4,7,7,7
309,第0310回,1997-11-03,575,1997,11,3,0,5,7,5
310,第0311回,1997-11-05,104,1997,11,5,2,1,0,4
311,第0312回,1997-11-07,068,1997,11,7,4,0,6,8
312,第0313回,1997-11-10,069,1997,11,10,0,0,6,9
313,第0314回,1997-11-12,242,1997,11,12,2,2,4,2
314,第0315回,1997-11-14,137,1997,11,14,4,1,3,7
315,第0316回,1997-11-17,218,1997,11,17,0,2,1,8
316,第0317回,1997-11-19,190,1997,11,19,2,1,9,0
317,第0318回,1997-11-21,537,1997,11,21,4,5,3,7
318,第0319回,1997-11-24,395,1997,11,24,0,3,9,5
319,第0320回,1997-11-26,598,1997,11,26,2,5,9,8
320,第0321回,1997-11-28,429,1997,11,28,4,4,2,9
321,第0322回,1997-12-01,064,1997,12,1,0,0,6,4
322,第0323回,1997-12-03,375,1997,12,3,2,3,7,5
323,第0324回,1997-12-05,805,1997,12,5,4,8,0,5
324,第0325回,1997-12-08,531,1997,12,8,0,5,3,1
325,第0326回,1997-12-10,930,1997,12,10,2,9,3,0
326,第0327回,1997-12-12,980,1997,12,12,4,9,8,0
327,第0328回,1997-12-15,736,1997,12,15,0,7,3,6
328,第0329回,1997-12-17,543,1997,12,17,2,5,4,3
329,第0330回,1997-12-19,179,1997,12,19,4,1,7,9
330,第0331回,1997-12-22,196,1997,12,22,0,1,9,6
331,第0332回,1997-12-24,167,1997,12,24,2,1,6,7
332,第0333回,1997-12-26,238,1997,12,26,4,2,3,8
333,第0334回,1997-12-29,480,1997,12,29,0,4,8,0
334,第0335回,1998-01-05,950,1998,1,5,0,9,5,0
335,第0336回,1998-01-07,551,1998,1,7,2,5,5,1
336,第0337回,1998-01-09,632,1998,1,9,4,6,3,2
337,第0338回,1998-01-12,704,1998,1,12,0,7,0,4
338,第0339回,1998-01-14,152,1998,1,14,2,1,5,2
339,第0340回,1998-01-16,992,1998,1,16,4,9,9,2
340,第0341回,1998-01-19,259,1998,1,19,0,2,5,9
341,第0342回,1998-01-21,686,1998,1,21,2,6,8,6
342,第0343回,1998-01-23,997,1998,1,23,4,9,9,7
343,第0344回,1998-01-26,035,1998,1,26,0,0,3,5
344,第0345回,1998-01-28,513,1998,1,28,2,5,1,3
345,第0346回,1998-01-30,000,1998,1,30,4,0,0,0
346,第0347回,1998-02-02,718,1998,2,2,0,7,1,8
347,第0348回,1998-02-04,394,1998,2,4,2,3,9,4
348,第0349回,1998-02-06,431,1998,2,6,4,4,3,1
349,第0350回,1998-02-09,638,1998,2,9,0,6,3,8
350,第0351回,1998-02-11,417,1998,2,11,2,4,1,7
351,第0352回,1998-02-13,038,1998,2,13,4,0,3,8
352,第0353回,1998-02-16,996,1998,2,16,0,9,9,6
353,第0354回,1998-02-18,750,1998,2,18,2,7,5,0
354,第0355回,1998-02-20,487,1998,2,20,4,4,8,7
355,第0356回,1998-02-23,852,1998,2,23,0,8,5,2
356,第0357回,1998-02-25,756,1998,2,25,2,7,5,6
357,第0358回,1998-02-27,469,1998,2,27,4,4,6,9
358,第0359回,1998-03-02,277,1998,3,2,0,2,7,7
359,第0360回,1998-03-04,965,1998,3,4,2,9,6,5
360,第0361回,1998-03-06,965,1998,3,6,4,9,6,5
361,第0362回,1998-03-09,640,1998,3,9,0,6,4,0
362,第0363回,1998-03-11,458,1998,3,11,2,4,5,8
363,第0364回,1998-03-13,908,1998,3,13,4,9,0,8
364,第0365回,1998-03-16,887,1998,3,16,0,8,8,7
365,第0366回,1998-03-18,841,1998,3,18,2,8,4,1
366,第0367回,1998-03-20,778,1998,3,20,4,7,7,8
367,第0368回,1998-03-23,805,1998,3,23,0,8,0,5
368,第0369回,1998-03-25,135,1998,3,25,2,1,3,5
369,第0370回,1998-03-27,091,1998,3,27,4,0,9,1
370,第0371回,1998-03-30,798,1998,3,30,0,7,9,8
371,第0372回,1998-04-01,202,1998,4,1,2,2,0,2
372,第0373回,1998-04-03,417,1998,4,3,4,4,1,7
373,第0374回,1998-04-06,409,1998,4,6,0,4,0,9
374,第0375回,1998-04-08,994,1998,4,8,2,9,9,4
375,第0376回,1998-04-10,274,1998,4,10,4,2,7,4
376,第0377回,1998-04-13,155,1998,4,13,0,1,5,5
377,第0378回,1998-04-15,075,1998,4,15,2,0,7,5
378,第0379回,1998-04-17,649,1998,4,17,4,6,4,9
379,第0380回,1998-04-20,820,1998,4,20,0,8,2,0
380,第0381回,1998-04-22,885,1998,4,22,2,8,8,5
381,第0382回,1998-04-24,606,1998,4,24,4,6,0,6
382,第0383回,1998-04-27,081,1998,4,27,0,0,8,1
383,第0384回,1998-04-29,690,1998,4,29,2,6,9,0
384,第0385回,1998-05-01,332,1998,5,1,4,3,3,2
385,第0386回,1998-05-04,578,1998,5,4,0,5,7,8
386,第0387回,1998-05-06,396,1998,5,6,2,3,9,6
387,第0388回,1998-05-08,227,1998,5,8,4,2,2,7
388,第0389回,1998-05-11,275,1998,5,11,0,2,7,5
389,第0390回,1998-05-13,956,1998,5,13,2,9,5,6
390,第0391回,1998-05-15,066,1998,5,15,4,0,6,6
391,第0392回,1998-05-18,426,1998,5,18,0,4,2,6
392,第0393回,1998-05-20,029,1998,5,20,2,0,2,9
393,第0394回,1998-05-22,729,1998,5,22,4,7,2,9
394,第0395回,1998-05-25,440,1998,5,25,0,4,4,0
395,第0396回,1998-05-27,963,1998,5,27,2,9,6,3
396,第0397回,1998-05-29,345,1998,5,29,4,3,4,5
397,第0398回,1998-06-01,274,1998,6,1,0,2,7,4
398,第0399回,1998-06-03,816,1998,6,3,2,8,1,6
399,第0400回,1998-06-05,596,1998,6,5,4,5,9,6
400,第0401回,1998-06-08,354,1998,6,8,0,3,5,4
401,第0402回,1998-06-10,058,1998,6,10,2,0,5,8
402,第0403回,1998-06-12,431,1998,6,12,4,4,3,1
403,第0404回,1998-06-15,109,1998,6,15,0,1,0,9
404,第0405回,1998-06-17,891,1998,6,17,2,8,9,1
405,第0406回,1998-06-19,222,1998,6,19,4,2,2,2
406,第0407回,1998-06-22,042,1998,6,22,0,0,4,2
407,第0408回,1998-06-24,237,1998,6,24,2,2,3,7
408,第0409回,1998-06-26,400,1998,6,26,4,4,0,0
409,第0410回,1998-06-29,866,1998,6,29,0,8,6,6
410,第0411回,1998-07-01,636,1998,7,1,2,6,3,6
411,第0412回,1998-07-03,514,1998,7,3,4,5,1,4
412,第0413回,1998-07-06,910,1998,7,6,0,9,1,0
413,第0414回,1998-07-08,737,1998,7,8,2,7,3,7
414,第0415回,1998-07-10,834,1998,7,10,4,8,3,4
415,第0416回,1998-07-13,001,1998,7,13,0,0,0,1
416,第0417回,1998-07-15,371,1998,7,15,2,3,7,1
417,第0418回,1998-07-17,429,1998,7,17,4,4,2,9
418,第0419回,1998-07-20,723,1998,7,20,0,7,2,3
419,第0420回,1998-07-22,427,1998,7,22,2,4,2,7
420,第0421回,1998-07-24,402,1998,7,24,4,4,0,2
421,第0422回,1998-07-27,495,1998,7,27,0,4,9,5
422,第0423回,1998-07-29,367,1998,7,29,2,3,6,7
423,第0424回,1998-07-31,043,1998,7,31,4,0,4,3
424,第0425回,1998-08-03,535,1998,8,3,0,5,3,5
425,第0426回,1998-08-05,618,1998,8,5,2,6,1,8
426,第0427回,1998-08-07,159,1998,8,7,4,1,5,9
427,第0428回,1998-08-10,512,1998,8,10,0,5,1,2
428,第0429回,1998-08-12,641,1998,8,12,2,6,4,1
429,第0430回,1998-08-14,652,1998,8,14,4,6,5,2
430,第0431回,1998-08-17,219,1998,8,17,0,2,1,9
431,第0432回,1998-08-19,163,1998,8,19,2,1,6,3
432,第0433回,1998-08-21,255,1998,8,21,4,2,5,5
433,第0434回,1998-08-24,698,1998,8,24,0,6,9,8
434,第0435回,1998-08-26,161,1998,8,26,2,1,6,1
435,第0436回,1998-08-28,244,1998,8,28,4,2,4,4
436,第0437回,1998-08-31,727,1998,8,31,0,7,2,7
437,第0438回,1998-09-02,235,1998,9,2,2,2,3,5
438,第0439回,1998-09-04,605,1998,9,4,4,6,0,5
439,第0440回,1998-09-07,520,1998,9,7,0,5,2,0
440,第0441回,1998-09-09,196,1998,9,9,2,1,9,6
441,第0442回,1998-09-11,174,1998,9,11,4,1,7,4
442,第0443回,1998-09-14,198,1998,9,14,0,1,9,8
443,第0444回,1998-09-16,107,1998,9,16,2,1,0,7
444,第0445回,1998-09-18,087,1998,9,18,4,0,8,7
445,第0446回,1998-09-21,531,1998,9,21,0,5,3,1
446,第0447回,1998-09-23,453,1998,9,23,2,4,5,3
447,第0448回,1998-09-25,785,1998,9,25,4,7,8,5
448,第0449回,1998-09-28,048,1998,9,28,0,0,4,8
